OCN	BIB	MEMBER_ID	STATUS	CONDITION	DATE	ENUM_CHRON	TYPE	ISSN	N_ENUM	N_CHRON	GOV_DOC	UUID
1	000000001	anu	CH		2020-09-01		mono					dda872cf-8349-4b51-b993-417a93b8e7da
2	000000002	anu	CH		2020-09-01		mono					324f262e-86d7-4e48-b402-32d2c9757be9
3	000000003	anu	CH		2020-09-01		mono					f302f416-5754-46e1-be91-acec04aa0d62
4	000000004	anu	CH		2020-09-01		mono					494d5ade-e1ec-4d4b-894e-8f878a0fa982
5	000000005	anu	CH		2020-09-01		mono					af4b1606-dfcd-4480-8237-ecb5b395c789
6	000000006	anu	CH		2020-09-01		mono					5cd18246-b263-4f6f-93a9-d031e60a4654
7	000000007	anu	CH		2020-09-01		mono					e85ca0fd-3c5f-4009-8c8b-86bff4c78820
8	000000008	anu	CH		2020-09-01		mono					88653b3e-3962-4612-861c-cb30f6fea7db
9	000000009	anu	CH		2020-09-01		mono					553bd80a-4f0b-4b2c-b423-e00be0ba550e
10	000000010	anu	CH		2020-09-01		mono					94940c5f-9bb8-43ed-8faa-af33edd8e680
11	000000011	anu	CH		2020-09-01		mono					d9251eb4-9a5f-43cc-8cd8-33b2a6b9d5aa
12	000000012	anu	CH		2020-09-01		mono					a6530f3e-739f-4b1e-ae69-411e559df857
1300	000001300	anu	CH		2020-09-01		mono					78c62f7d-24b9-4485-b112-49a212eb0b05
14	000000014	anu	CH		2020-09-01		mono					792d46dc-9c9f-47ec-9fe7-e02961917d1d
15	000000015	anu	CH		2020-09-01		mono					8fd2e8b2-153d-4537-8cdb-b07c342abde5
15	000000015	anu	CH		2020-09-01		mono					14ea5ac0-868d-4e53-aafc-f2e35fc4ff5d
15	000000015	anu	CH		2020-09-01		mono					08379f54-34f1-4d3b-b8e3-6ed08df43380
21	000000021	anu	CH		2020-09-01		mono					56032aeb-af34-467d-bf41-981bc252c0e3
22	000000022	anu	CH		2020-09-01		mono					f4bc8fad-90bb-4637-9621-c85e923ce9fa
23	000000023	anu	CH		2020-09-01		mono					05c2189d-8b8c-4dab-84e3-6f2871b50ccf
24	000000024	anu	CH		2020-09-01		mono					116774ee-f857-486b-82a1-9cd559c1da31
25	000000025	anu	CH		2020-09-01		mono					ab7b34a0-0d4a-4ccf-89f8-5e831a593e72
100	000000100	anu	CH		2020-09-01		mono					ee03d915-d01a-4116-a6a4-9be1156361f5
101	000000101	anu	CH		2020-09-01		mono					7314ea92-0fb3-4a14-bd3d-bdbdeb400cbf
102	000000102	anu	CH		2020-09-01		mono					79f172e8-30d4-4c9d-b7d6-6271f3101bba
103	000000103	anu	CH		2020-09-01		mono					7c46529b-ba6a-48a0-99f4-ef71b1ec2270
104	000000104	anu	CH		2020-09-01		mono					07820309-56cb-456e-9a9c-7c3fd38f40a1
105	000000105	anu	CH		2020-09-01		mono					a88446b2-8bc6-46dc-aca2-c20210b7c476
