OCN	BIB	MEMBER_ID	STATUS	CONDITION	DATE	ENUM_CHRON	TYPE	ISSN	N_ENUM	N_CHRON	GOV_DOC	UUID
10001	.b21630252	anu			2019-04-19		serial	0578-1388			0	6ca40520-91db-4b37-95e1-043a80d10943
10002	.b2116731x	anu			2019-04-19		serial	0075-6873			0	be76780b-7da1-4052-b814-464091d2e36c
10003	.b2092978x	anu			2019-04-19		serial	0447-5143			0	4da3345a-2b94-4d66-a44f-da9b4577b362
10004	.b20889616	anu			2019-04-19		serial	0419-3733			0	cc77818e-17c7-48ff-9626-abb9a7a5512e
10005	.b20959722	anu			2019-04-19		serial	1228-8101			0	663f66a8-16f0-48b0-8995-89242a95fe16
10006	.b21216575	anu			2019-04-19		serial	0286-1402			0	f3c548c7-51fc-4856-be5b-ed15fdbda2eb
10007	.b21226416	anu			2019-04-19		serial	0301-9837			0	513e03bf-69e2-4797-b68a-9d5e3fe9108b
10008	.b22517406	anu			2019-04-19		serial	0429-1255			0	7268ce1b-3abb-4042-b7ac-5df75e6261a5
10009	.b22575480	anu			2019-04-19		serial	0570-4502			0	41f9e748-5778-4e0e-9e72-9b43e86e1368
10010	.b22652139	anu			2019-04-19		serial	1226-1556			0	d756d57a-a95b-4206-bb68-bc35636ad44d
10011	.b22577506	anu			2019-04-19		serial	0454-1987			0	9f528d04-aabb-4a1b-9f75-7f0b65b9c449
10012	.b21167321	anu			2019-04-19		serial	1975-485X			0	4e055ef0-f464-4336-adc8-c53d6dcc2256
10013	.b23448088	anu			2019-04-19		serial	0742-6763			0	646ccb82-405c-4833-9dbc-8e78147c098e
