OCN	BIB	MEMBER_ID	STATUS	CONDITION	DATE	ENUM_CHRON	TYPE	ISSN	N_ENUM	N_CHRON	GOV_DOC	UUID
10001	99111707110001021	bu			2020-08-25		serial	0015-1408			0	ed82b467-9c64-431c-9065-9679f60824a9
10002	99120721360001021	bu			2020-08-25		serial	0001-1452			0	284a0dbd-bdac-4f95-be4b-ce9f91fb69ce
20003	9999327010001021	bu			2020-08-25		serial	0001-0456			0	8c8c1a5b-da69-4bca-afd8-1ea147ee4c9d
20004	99106009640001021	bu			2020-08-25		serial	0425-0494			0	646d1da6-dca1-486b-9327-ea7d170fcc6f
20005	99109899700001021	bu			2020-08-25		serial	0015-511X			0	70f575d6-7f47-4200-8cfb-ae18f4db7685
20006	99108592440001021	bu			2020-08-25		serial	0005-7894			0	682649a7-0eb2-40c3-9414-21cdd64856b7
20007	99116207010001021	bu			2020-08-25		serial	0030-4921			0	d2a44185-8d1b-48a3-b56c-82ed4e762e4f
20008	99120710060001021	bu			2020-08-25		serial	0033-1457			0	4651098f-becd-4fbe-8160-deed99254705
20009	99111883050001021	bu			2020-08-25		serial	0001-074X			0	e2450ae3-dd03-4602-b067-5c0b9f340100
20010	9997929540001021	bu			2020-08-25		serial	0006-7954			0	6d532ed2-fecd-4ec0-b89e-671bf60c9b93
20011	99105953300001021	bu			2020-08-25		serial	0006-7954			0	1981d9fa-d732-4f77-93c2-aeb64b91e6dd
20012	99105619720001021	bu			2020-08-25		serial	0010-2687			0	bf1cd186-1842-44a3-b1a3-feab9a47dcfe
20013	99108349840001021	bu			2020-08-25		serial	0021-9495			0	8a47e236-3210-4a95-a0ee-c129dcbdc201
