OCN	BIB	MEMBER_ID	STATUS	CONDITION	DATE	ENUM_CHRON	TYPE	ISSN	N_ENUM	N_CHRON	GOV_DOC	UUID
1	000000001	cmu	CH		2020-09-01		mono					d7aa958b-256b-46c7-b55e-7c224d8da826
2	000000002	cmu	CH		2020-09-01		mono					95592b4c-0619-41ff-a0af-bae86ba26028
3	000000003	cmu	CH		2020-09-01		mono					7fc569bf-8576-4e8e-bd01-a6df83fe0ce3
4	000000004	cmu	CH		2020-09-01		mono					12a62755-055a-43d1-addc-301bb309e134
5	000000005	cmu	CH		2020-09-01		mono					1bee9647-b01f-4f5e-a9e2-35ae7bd686cd
6	000000006	cmu	CH		2020-09-01		mono					d032330e-ee1a-4b92-953e-11d550e7f388
7	000000007	cmu	CH		2020-09-01		mono					f730d32d-51a4-4361-b95b-300008aea732
8	000000008	cmu	CH		2020-09-01		mono					4a072442-3956-45a0-9777-ff5b0a6784d3
9	000000009	cmu	CH		2020-09-01		mono					8b739094-45a2-462d-af51-230dcab2f994
10	000000010	cmu	CH		2020-09-01		mono					d83674d5-1a7e-4fd4-8671-f82d5feff1f6
1101	000001101	cmu	CH		2020-09-01		mono					0d110a56-c29f-4578-9e26-bb3e20d09534
1301	000001301	cmu	CH		2020-09-01		mono					08e8db37-0629-4301-8538-78dd32331c10
41	000000041	cmu	CH		2020-09-01		mono					d8065486-ccfa-4165-904d-a2e6f6fd81fb
42	000000042	cmu	CH		2020-09-01		mono					5846ab13-cd5a-4e73-9727-b2e28e4ba1a7
43	000000043	cmu	CH		2020-09-01		mono					8aa40a63-fcc4-402d-b6db-f79fefecabbf
44	000000044	cmu	CH		2020-09-01		mono					c3985fd3-65ba-4320-b749-9dd2d0f0d674
45	000000045	cmu	CH		2020-09-01		mono					1920ec7d-66ca-4161-b6c5-5d12a963898d
