OCN	BIB	MEMBER_ID	STATUS	CONDITION	DATE	ENUM_CHRON	TYPE	ISSN	N_ENUM	N_CHRON	GOV_DOC	UUID
10001	991008675399704436	cmu			2020-08-28		serial				\N	d76ffbcc-54ab-44e5-98ab-701e88a5d42c
20002	991008675429704436	cmu			2020-08-28		serial				\N	5db7fad8-1b2a-4b7f-9fc9-b8ec5f1ab380
20003	991008686379704436	cmu			2020-08-28		serial				\N	0e68084f-f550-4b25-a60f-37e9ccfe1b5a
20004	991008686479704436	cmu			2020-08-28		serial				\N	f0adea06-4004-4069-a680-4d0a1c564f4f
20005	991008734379704436	cmu			2020-08-28		serial				\N	1d903b02-8b6c-471d-b9b2-ad4305c762cd
20006	991008734689704436	cmu			2020-08-28		serial				\N	1b75b72b-8e1f-437f-bcbc-87c466b5ef0a
20007	991008741009704436	cmu			2020-08-28		serial				\N	f45e5c6e-f3b3-420c-9cb0-e92befbd9adc
20008	991008741159704436	cmu			2020-08-28		serial				\N	0d56a3a2-a9e8-411a-a7b5-c22e94ae0449
20009	991008741259704436	cmu			2020-08-28		serial				\N	67e62358-f1f3-4e84-8e17-c14eed08d039
30010	991008741259704436	cmu			2020-08-28		serial				\N	bb63ed54-e9d3-453d-926d-31a4dab08bc2
