oclc	local_id	status	condition	govdoc
4347	96	WD		0
16350760	2709	WD		0
12162353	3800	WD		0
12081779	3910	WD		0
12024509	4600	WD		0
12550347	4634	WD		0
21725935	5129	WD		0
12080016	5154	WD		0
11235821	5202	WD		0
356772	5801	WD		1
11573783	6940	WD		0
10996639	7374	WD		0
1190823	7739	WD		0
174796	8482	WD		0
335273	8657	WD		0
542963	8910	WD		0
526763	8987	WD		0
522170	9063	WD		0
6387085	9574	WD		0
1496832	9846	WD		0
890253	9980	WD		0
1545292	11315	WD		0
2051268	11566	WD		0
957953937	11987	WD		0
4166450	12112	WD		0
10778760	12447	WD		0
11133064	13339	WD		0
10893986	13731	WD		0
11290778	13856	WD		0
550081	14213	WD		0
11785663	14662	WD		0
522190	15099	WD		0
543383	15435	WD		0
11970153	15786	WD		0
1066950	16579	WD		1
563261	18858	WD		0
109112	19223	WD		0
545242	19535	WD		0
669703	20070	WD		0
9919498	20394	WD		0
10948972	21669	WD		0
1222075	21891	WD		0
537257	22550	WD		0
440107	22671	WD		0
14019417	22878	WD		0
499386	23128	WD		0
627948	24471	WD		0
10725315	24991	WD		0
11764842	25316	WD		0
476371	26386	WD		0
568745	26470	WD		0
175071	27125	WD		0
440926	27287	WD		0
1111885	27953	WD		0
527725	28009	WD		0
527105	28016	WD		0
527306	28073	WD		0
587794	29501	WD		0
1033974	29569	WD		0
791814	29776	WD		0
1015349	29885	WD		0
870704	30449	WD		0
1111995	31132	WD		0
104608	31544	WD		0
528823	31711	WD		0
179045	32825	WD		0
11622599	33469	WD		0
135513	34897	WD		0
1209184	34924	WD		0
964824	35273	WD		0
11345417	36373	WD		0
1553	36442	WD		0
1862992	36623	WD		0
124177	36655	WD		0
1228067	36709	WD		0
964365	36955	WD		0
1236005	36986	WD		0
10996645	37056	WD		0
45217	37340	WD		0
11134160	38216	WD		0
1252718	38233	WD		0
557288	38421	WD		0
1111926	38480	WD		0
11157569	38917	WD		0
11157569	38917	WD		0
1115139	39197	WD		0
29168281	41086	WD		0
11469963	44112	WD		0
11034813	44190	WD		0
11030787	44978	WD		0
416551	45043	WD		0
562915	45224	WD		0
562915	45224	WD		0
545529	47557	WD		0
570243	48807	WD		0
84153	51704	WD		0
11044024	53512	WD		0
11067880	55805	WD		0
11134158	56286	WD		0
